Project ID,Project Name,Owner,Address,City/State,Latitude,Longitude,Total GLA,Year Built,Lot Size Acres,Parking Count,Parking Ratio / 1000 SF,Tenant Count,Tenant Count 0-3k,Tenant Count 3k-10k,Tenant Count 10k+,Grocery Tenant,Grocery SF,Grocery % GLA,Food,Food %,Hard Goods,Hard Goods %,Service,Service %,Soft Goods,Soft Goods %,Other,Other %,Vacancy,Vacancy %,Source Demographic Radius,5-Mile Population,5-Mile Income,3-Mile Population,3-Mile Income,ADT,Annual Visits,PDF File,PDF Path,Site Plan Page,Site Plan Image Path
118530,Hope Valley Commons,Kimco,"1125 W. NC Hwy 54, Durham, NC","Durham, NC",35.918398,-78.95852,81327,,,283,3.479779163131556,17,14,2,1,Harris Teeter,48505,59.641939331341376,56847,69.89929543693975,0,0,2400,2.951049467,4100,5.041376172734762,16380,20.14091261204766,1600,1.9673663113111268,,,,,,,,118530-hope-valley-commons-marketing-package.pdf,pdfs/118530-hope-valley-commons-marketing-package.pdf,4,site_plan_images/118530-hope-valley-commons-site-plan.png
101240,Center at Missouri,Kimco,"1111 Missouri Ave N, Largo, FL","Largo, FL",27.9264923,-82.7877391,131067,,,800,6.1037484645257765,10,4,2,4,Aldi,20800,15.869746007767018,22000,16.785308277445885,0,0,42911,32.7397438,600,0.4577811348394333,60606,46.24047243013115,4950,3.776694362425325,,,,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,pdfs/101240-center-at-missouri-avenue-marketing-package.pdf,4,site_plan_images/101240-center-at-missouri-site-plan.png
120630,Publix at Princeton,Kimco,"3730 CarMia Drive,  Ste 200, Atlanta, GA","Atlanta, GA",33.655575,-84.5108,68407,,,338,4.941014808426038,11,7,3,1,Publix,45600,66.65984475272998,46807,68.42428406449632,0,0,1560,2.2804683731197097,4800,7.0168257634452615,15240,22.278421798938705,0,0,,,,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,pdfs/120630-publix-at-princeton-lakes-marketing-package.pdf,4,site_plan_images/120630-publix-at-princeton-site-plan.png
120000,Wellington Green,Kimco,"2635 S State Road 7, Wellington, FL","Wellington, FL",26.641758,-80.205541,125847,,,1082,8.597741702225719,29,22,6,1,Whole Foods Market,49979,39.71409727685205,64701,51.41242937853108,0,0,28425,22.58695082123531,8995,7.147568078698738,17896,14.220442283089785,5830,4.632609438445097,,,,,,,,120000-wellington-green-commons-marketing-package.pdf,pdfs/120000-wellington-green-commons-marketing-package.pdf,4,site_plan_images/120000-wellington-green-site-plan.png
125500,Bedford Marketplace,Kimco,"160 Great Rd, Bedford, MA","Bedford, MA",42.4914772,-71.2737035,153738,,,610,3.9677893559172097,21,8,11,2,Whole Foods Market,40175,26.13212088097933,53061,34.513913281036565,0,0,25424,16.53722566964576,46431,30.201381571244585,21209,13.795548270434116,7613,4.951931208,,,,,,,,125500-bedford-marketplace-marketing-package.pdf,pdfs/125500-bedford-marketplace-marketing-package.pdf,4,site_plan_images/125500-bedford-marketplace-site-plan.png
101110,Belmart Plaza,Kimco,"500 Belvedere Rd, West Palm Beach, FL","West Palm Beach, FL",26.689512,-80.056537,70227,,,302,4.300340324946245,18,14,3,1,Publix,28800,41.009867999487376,37871,53.92655246557592,7689,10.94878038361314,4800,6.834977999914563,2700,3.844675124951941,11767,16.755663776040556,5400,7.689350249903883,,,,,,,,101110-belmart-plaza-marketing-package.pdf,pdfs/101110-belmart-plaza-marketing-package.pdf,4,site_plan_images/101110-belmart-plaza-site-plan.png
116810,Devon Village,Kimco,"821 Lancaster Ave., Devon, PA","Devon, PA",40.0463108,-75.4450327,78591,,,360,4.580677176775967,13,5,6,2,Whole Foods Market,33504,42.63083559186167,49503,62.98812841165019,0,0,15340,19.518774414373148,2592,3.298087567278696,1500,1.90861549,9656,12.286394116374648,,,,,,,,116810-devon-village-marketing-package.pdf,pdfs/116810-devon-village-marketing-package.pdf,4,site_plan_images/116810-devon-village-site-plan.png
102120,Kings Contrivance,Kimco,"8620 Guilford, Columbia, MD","Columbia, MD",39.1699213,-76.8643014,119117,,,522,4.382246027015455,39,33,5,1,Harris Teeter,56905,47.77235826960048,61758,51.84650385755182,0,0,12548,10.534180679499986,6574,5.518943559693411,18495,15.526751009511658,19742,16.573620893743126,,,,,,,,102120-kings-contrivance-marketing-package.pdf,pdfs/102120-kings-contrivance-marketing-package.pdf,5,site_plan_images/102120-kings-contrivance-site-plan.png
100280,Merrick Commons,Kimco,"1686 Merrick Road, Merrick, NY","Merrick, NY",40.6532269,-73.559713,108876,,,527,4.8403688599875085,17,11,2,4,Lidl,31478,28.91178956,42056,38.62742936919064,24836,22.81127153826372,20406,18.742422572467763,1640,1.5063007458025643,9636,8.850435357654579,10302,9.462140416620745,,,,,,,,100280-merrick-commons-marketing-package.pdf,pdfs/100280-merrick-commons-marketing-package.pdf,4,site_plan_images/100280-merrick-commons-site-plan.png
110680,Shawan Plaza,Kimco,"11399 York Rd, Hunt Valley, MD","Hunt Valley, MD",39.4953156,-76.6484469,94653,,,455,4.807032001,18,12,5,1,Giant Food,55330,58.45562211446018,69673,73.60886606869302,0,0,10104,10.67478051,6156,6.503755823904155,10048,10.615617043305548,1250,1.3206131871150413,,,,,,,,110680-shawan-plaza-marketing-package.pdf,pdfs/110680-shawan-plaza-marketing-package.pdf,4,site_plan_images/110680-shawan-plaza-site-plan.png
112950,Doc Stone Commons,Kimco,"317 Worth Avenue, Stafford, VA","Stafford, VA",38.4770365,-77.4169994,101042,,,474,4.691118544763564,6,3,0,3,Giant Food,61500,60.865778587122186,61505,60.87072702440569,35942,35.57134656875359,1200,1.1876249480414085,1200,1.1876249480414085,0,0,0,0,,,,,,,,112950-doc-stone-commons-marketing-package.pdf,pdfs/112950-doc-stone-commons-marketing-package.pdf,4,site_plan_images/112950-doc-stone-commons-site-plan.png
110630,Radcliffe Center,Kimco,"1017 York Rd, Towson, MD","Towson, MD",39.411693,-76.608841,88405,,,436,4.931847746168203,5,1,1,3,Safeway,59180,66.94191505005374,59180,66.94191505005374,0,0,12125,13.715287596855385,0,0,5600,6.334483344,11500,13.008314009388608,,,,,,,,110630-radcliffe-center-marketing-package.pdf,pdfs/110630-radcliffe-center-marketing-package.pdf,4,site_plan_images/110630-radcliffe-center-site-plan.png
116830,Forest Park,Kimco,"27 S Pleasantburg Dr, Ste 10, Greenville, SC","Greenville, SC",34.841538,-82.362618,51103,,,253,4.950785668160382,16,13,2,1,The Fresh Market,20550,40.21290335,21950,42.95246854,0,0,2802,5.483044048,6255,12.239985910807585,20096,39.32450149697669,0,0,,,,,,,,116830-forest-park-marketing-package.pdf,pdfs/116830-forest-park-marketing-package.pdf,4,site_plan_images/116830-forest-park-site-plan.png
117210,Memorial Plaza,Kimco,"730 Memorial Drive, Cambridge, MA","Cambridge, MA",42.3571302,-71.1142734,62555,,,269,4.300215810087123,5,1,2,2,Trader Joe's,11065,17.688434177923426,11065,17.688434177923426,0,0,3391,5.420829669890496,0,0,41724,66.69970426025098,6375,10.191031891935095,,,,,,,,117210-memorial-plaza-marketing-package.pdf,pdfs/117210-memorial-plaza-marketing-package.pdf,4,site_plan_images/117210-memorial-plaza-site-plan.png
110520,Ingleside S.C.,Kimco,"5660 Baltimore National Pike, Baltimore, MD","Baltimore, MD",39.2897667,-76.7306482,114045,,,502,4.401771230654566,16,8,6,2,Safeway; Safeway Gas,56000,49.10342408698321,71457,62.65684598184927,18895,16.56802139506335,4135,3.625761760708493,1160,1.0171423560875092,15148,13.282476215528956,3250,2.849752290762418,,,,,,,,110520-ingleside-sc-marketing-package.pdf,pdfs/110520-ingleside-sc-marketing-package.pdf,4,site_plan_images/110520-ingleside-sc-site-plan.png
120460,North Decatur Station,Kimco,"1555 Church Street, Decatur, GA","Decatur, GA",33.7926195,-84.2842622,88779,,,429,4.832223836718143,24,18,5,1,Whole Foods Market,35097,39.53299766836752,39957,45.00726523164262,4872,5.487784273307876,16251,18.30500456188964,6222,7.008414151995404,17715,19.954043185888555,3762,4.237488595,,,,,,,,120460-north-decatur-station-marketing-package.pdf,pdfs/120460-north-decatur-station-marketing-package.pdf,4,site_plan_images/120460-north-decatur-station-site-plan.png
116880,Wilton River Park S.C.,Kimco,"5 RIver Road, Wilton, CT","Wilton, CT",41.1906553,-73.4308645,95659,,,894,9.345696693,29,25,3,1,Stop & Shop,46764,48.88614767,57899,60.52645333946622,0,0,7778,8.130965199301686,4100,4.286057767695669,19841,20.74138345581701,6041,6.315140237719399,,,,,,,,116880-wilton-river-park-sc-marketing-package.pdf,pdfs/116880-wilton-river-park-sc-marketing-package.pdf,4,site_plan_images/116880-wilton-river-park-sc-site-plan.png
116720,Jetton Village Shoppes,Kimco,"19815 North Cove Road, Cornelius, NC","Cornelius, NC",35.4774913,-80.8941312,80600,,,320,3.970223325062035,14,11,2,1,Harris Teeter,57260,71.04218362282879,58616,72.72456575682382,1200,1.488833746898263,5187,6.435483870967743,3092,3.836228287841191,10851,13.462779156327542,3200,3.970223325062035,,,,,,,,116720-jetton-village-shoppes-marketing-package.pdf,pdfs/116720-jetton-village-shoppes-marketing-package.pdf,4,site_plan_images/116720-jetton-village-shoppes-site-plan.png
125240,Highland Lakes Plaza,Kimco,"33561 US Hwy 19 N, Palm Harbor, FL","Palm Harbor, FL",28.077898,-82.73803,79528,,,359,4.514133387,13,7,3,3,Trader Joe's,13045,16.40302786439996,13045,16.40302786439996,40723,51.20586460114677,7000,8.801931395231868,4750,5.972739161050196,11260,14.158535358615834,2750,3.4579016195553764,,,,,,,,125240-highland-lakes-plaza-marketing-package.pdf,pdfs/125240-highland-lakes-plaza-marketing-package.pdf,4,site_plan_images/125240-highland-lakes-plaza-site-plan.png
118450,Grayson Commons,Kimco,"1911 Grayson Hwy., Grayson, GA","Grayson, GA",33.8977877,-83.9609317,76581,,,344,4.491975816455779,18,16,1,1,Kroger,46581,60.82579229835077,53831,70.29289249,1500,1.9587103850824616,3875,5.060001828129693,2250,2.9380655776236924,13625,17.791619331165695,1500,1.9587103850824616,,,,,,,,118450-grayson-commons-marketing-package.pdf,pdfs/118450-grayson-commons-marketing-package.pdf,4,site_plan_images/118450-grayson-commons-site-plan.png
116730,Grand Oaks Village,Kimco,"5000 Dr. Phillips Blvd, Orlando, FL","Orlando, FL",28.4922,-81.49163,86269,,,469,5.436483557,33,26,6,1,The Fresh Market,18400,21.32863485145301,28576,33.12429725625659,11424,13.242300246902133,11900,13.79406275718972,4060,4.706209646570611,28829,33.41756598546407,1480,1.7155641076168726,,,,,,,,116730-grand-oaks-village-marketing-package.pdf,pdfs/116730-grand-oaks-village-marketing-package.pdf,4,site_plan_images/116730-grand-oaks-village-site-plan.png
113870,Coral Pointe S.C.,Kimco,"1631 Del Prado Blvd, #500, Cape Coral, FL","Cape Coral, FL",26.6192563,-81.9395448,125108,,,466,3.724781788534706,13,8,2,3,Publix,44684,35.71634108130575,47281,37.792147584487005,30165,24.11116795089043,7248,5.793394507145826,34123,27.274834542954885,6291,5.028455414521853,0,0,,,,,,,,113870-coral-pointe-sc-marketing-package.pdf,pdfs/113870-coral-pointe-sc-marketing-package.pdf,4,site_plan_images/113870-coral-pointe-sc-site-plan.png
116750,Woodbridge S.C.,Kimco,"11565 S. Highway 6, Sugar Land, TX","Sugar Land, TX",29.5972129,-95.6188842,96623,,,514,5.319644391087008,20,18,1,1,Kroger; Kroger (Fuel Station),66850,69.18642559225029,72690,75.23053517278495,0,0,3600,3.725820974302184,4833,5.001914658000683,7200,7.451641948604369,8300,8.590087246307816,,,,,,,,116750-woodbridge-sc-marketing-package.pdf,pdfs/116750-woodbridge-sc-marketing-package.pdf,4,site_plan_images/116750-woodbridge-sc-site-plan.png
116820,Davidson Commons,Kimco,"431 Peninsula Drive, Davidson, NC","Davidson, NC",35.5006717,-80.8601562,88801,,,321,3.614824157385615,21,16,4,1,Harris Teeter,48000,54.05344534408396,52658,59.29888176934944,0,0,7822,8.808459364196349,5370,6.0472291978693935,22951,25.845429668584813,0,0,,,,,,,,116820-davidson-commons-marketing-package.pdf,pdfs/116820-davidson-commons-marketing-package.pdf,4,site_plan_images/116820-davidson-commons-site-plan.png
118380,Winter Park Corners,Kimco,"1989 Aloma Avenue, Winter Park, FL","Winter Park, FL",28.6009963,-81.3254137,95211,,,454,4.768356597451975,27,19,6,2,Sprouts Winter Park,30348,31.87446828622743,42552,44.692314963607146,0,0,17393,18.26784720252912,2100,2.205627501024041,22666,23.80607282771949,10500,11.028137505120208,,,,,,,,118380-winter-park-corners-marketing-package.pdf,pdfs/118380-winter-park-corners-marketing-package.pdf,4,site_plan_images/118380-winter-park-corners-site-plan.png
117660,Lincoln Square,Kimco,"1415 Washington Ave., Philadelphia, PA","Philadelphia, PA",39.9381849,-75.1678287,101226,,,415,4.099737221662418,9,5,1,3,Sprouts Farmers Market,32000,31.612431588722263,44232,43.69628356351135,51575,50.950348724635965,2919,2.8836464939837594,0,0,2500,2.4697212178689267,0,0,,,,,,,,117660-lincoln-square-marketing-package.pdf,pdfs/117660-lincoln-square-marketing-package.pdf,4,site_plan_images/117660-lincoln-square-site-plan.png
118000,Phillips Crossing,Kimco,"8003 Turkey Lake Rd., Orlando, FL","Orlando, FL",28.4490531,-81.476549,145644,,,725,4.977891296586196,24,14,7,3,Whole Foods Market,52549,36.08044272335283,68409,46.97000906319519,41390,28.418609760786573,7812,5.363763697783637,6606,4.5357172283101255,16376,11.243854879020075,5051,3.468045370904397,,,,,,,,118000-phillips-crossing-marketing-package.pdf,pdfs/118000-phillips-crossing-marketing-package.pdf,4,site_plan_images/118000-phillips-crossing-site-plan.png
103400,Ives Dairy Crossing,Kimco,"19955 NW 2nd Ave, North Miami Beach, FL","North Miami Beach, FL",25.9285116,-80.2044037,108795,,,743,6.829357966818328,17,9,6,2,Publix,51420,47.26320143388942,55306,50.83505675812307,5560,5.110528976515464,25309,23.26301760191185,2280,2.095684544326485,15840,14.55949262,4500,4.136219495381221,,,,,,,,103400-ives-dairy-crossing-marketing-package.pdf,pdfs/103400-ives-dairy-crossing-marketing-package.pdf,4,site_plan_images/103400-ives-dairy-crossing-site-plan.png
116710,Brennan Station,Kimco,"8111 Creedmoor Rd, Ste 130, Raleigh, NC","Raleigh, NC",35.898631,-78.682193,147261,,,612,4.155886487257319,30,19,7,4,Trader Joe's,14679,9.968015971642185,41942,28.481403766102364,47541,32.28349664880722,11683,7.933532978860662,6672,4.530731150813861,18754,12.735211631049632,1800,1.222319555075682,,,,,,,,116710-brennan-station-marketing-package.pdf,pdfs/116710-brennan-station-marketing-package.pdf,4,site_plan_images/116710-brennan-station-site-plan.png
102560,Kroger Plaza,Kimco,"525 N. Galloway, Mesquite, TX","Mesquite, TX",32.7715483,-96.6005654,79550,,,388,4.877435575109994,10,5,4,1,Kroger,51000,64.11062225015714,54661,68.71275927,12645,15.89566310496543,2800,3.519798868636078,1215,1.5273412947831553,6090,7.655562539,2400,3.016970458830924,,,,,,,,102560-kroger-plaza-marketing-package.pdf,pdfs/102560-kroger-plaza-marketing-package.pdf,4,site_plan_images/102560-kroger-plaza-site-plan.png
120600,Tamiami Trail Shops,Kimco,"13850 SW 8th Street, Miami, FL","Miami, FL",25.7663501,-80.195479,110952,,,471,4.245078953060784,27,20,4,3,Publix,42112,37.95515177734516,48981,44.14611723988752,1600,1.442065037133175,28574,25.753478981902084,7220,6.507318480063451,21677,19.53727738120989,2900,2.61374288,,,,,,,,120600-tamiami-trail-shops-marketing-package.pdf,pdfs/120600-tamiami-trail-shops-marketing-package.pdf,4,site_plan_images/120600-tamiami-trail-shops-site-plan.png
124700,The Gardens at Great,Kimco,"38 Great Neck Road, Great Neck, NY","Great Neck, NY",40.7854294,-73.7268146,126820,,,394,3.11,24,14,6,4,Aldi,20939,16.510802712505914,30499,24.04904589181517,0,0,32670,25.760920990380065,1750,1.379908531777322,23552,18.571203280239708,38349,30.23892130578773,,,,,,,,124700-the-gardens-at-great-neck-marketing-package.pdf,pdfs/124700-the-gardens-at-great-neck-marketing-package.pdf,4,site_plan_images/124700-the-gardens-at-great-site-plan.png
116400,University Town Center,Kimco,"1749 E Nine Mile Rd, Pensacola, FL","Pensacola, FL",30.529592,-87.2243032,101377,,,498,4.912356846227448,21,19,1,1,Publix,61389,60.55515550864594,67789,66.86822454797439,1600,1.578267259832112,7000,6.904919262,5200,5.129368594454363,18388,18.138236483620545,1400,1.380983852353098,,,,,,,,116400-university-town-center-marketing-package.pdf,pdfs/116400-university-town-center-marketing-package.pdf,4,site_plan_images/116400-university-town-center-site-plan.png
116550,The Shops at District,Kimco,"5500 Silver Hill Road, District Heights, MD","District Heights, MD",38.8539108,-76.9126277,90865,,,376,4.138006933362681,13,10,2,1,Giant Food,64333,70.80063830958014,72035,79.27694932042041,0,0,5600,6.16298905,5536,6.092554889121224,3801,4.183128817476476,2500,2.751334397182634,,,,,,,,116550-the-shops-at-district-heights-marketing-package.pdf,pdfs/116550-the-shops-at-district-heights-marketing-package.pdf,4,site_plan_images/116550-the-shops-at-district-site-plan.png
117250,Washington St. Plaza,Kimco,"15 Washington St, Brighton, MA","Brighton, MA",42.3428112,-71.1403575,27550,,,125,4.537205081669692,2,0,1,1,Whole Foods Market,20350,73.86569872958258,20350,73.86569872958258,0,0,0,0,0,0,0,0,7200,26.13430127041742,,,,,,,,117250-washington-st-plaza-marketing-package.pdf,pdfs/117250-washington-st-plaza-marketing-package.pdf,4,site_plan_images/117250-washington-st-plaza-site-plan.png
